date,home_team,away_team,home_win_rate,prob_iso,prob_used,odds_1,EV_€_per_100,win,pnl,stake
2025-12-25,DEN,MIN,0.75,0.6885245901639344,0.6885245901639344,1.8,23.934426229508198,1,80.0,100.0
2025-12-25,DEN,MIN,0.75,0.6885245901639344,0.6885245901639344,1.6,10.163934426229515,1,60.00000000000001,100.0
2025-12-28,LAC,DET,0.8,0.6885245901639344,0.6885245901639344,2.36,62.491803278688515,1,136.0,100.0
2026-01-03,LAC,BOS,0.8,0.6885245901639344,0.6885245901639344,1.85,27.377049180327873,0,-100.0,100.0
2026-01-05,DET,NYK,0.8,0.6885245901639344,0.6885245901639344,2.3,58.3606557377049,1,129.99999999999997,100.0
2026-01-06,MIN,MIA,0.7,0.6885245901639344,0.6885245901639344,1.46,0.5245901639344241,1,46.0,100.0
2026-01-08,MIN,CLE,0.7,0.7142857142857143,0.7142857142857143,1.8,28.57142857142858,1,80.0,100.0
2026-01-09,PHO,NYK,0.86,0.6885245901639344,0.6885245901639344,1.98,36.32786885245901,1,98.0,100.0
2026-01-10,BOS,SAS,0.67,0.6885245901639344,0.6885245901639344,1.98,36.32786885245901,0,-100.0,100.0
2026-01-11,MIN,SAS,0.7,0.6885245901639344,0.6885245901639344,1.7,17.049180327868847,1,70.0,100.0
