date,home_team,away_team,home_win_rate,prob_iso,odds_1,stake_eur,won,profit_eur,cum_profit,bankroll,bankroll_after
2025-10-30,CHO,ORL,1.0,0.9,2.15,50.0,0.0,-50.0,-50.0,950.0,950.0
2025-10-30,MIL,GSW,1.0,0.857,2.3,50.0,1.0,64.99999999999999,14.999999999999986,1015.0,1015.0
2025-10-30,SAS,MIA,1.0,0.9,1.42,50.0,1.0,20.999999999999996,35.999999999999986,1036.0,1036.0
2025-10-31,CHI,NYK,1.0,0.85,2.6,50.0,1.0,80.0,115.99999999999999,1116.0,1116.0
2025-10-31,CLE,TOR,1.0,0.85,1.35,50.0,0.0,-50.0,65.99999999999999,1066.0,1066.0
2025-10-31,LAC,NOP,1.0,0.85,1.19,30.26,1.0,5.749399999999999,71.74939999999998,1071.7494,1071.7494
2025-10-31,MEM,LAL,0.67,0.667,1.8,50.0,0.0,-50.0,21.74939999999998,1021.7493999999999,1021.7493999999999
2025-11-01,DET,DAL,0.67,0.826,1.33,50.0,1.0,16.500000000000004,38.24939999999998,1038.2494,1038.2494
2025-11-02,PHO,SAS,0.67,0.462,2.9,53.9,1.0,102.41,140.65939999999998,1140.6594,1140.6594
2025-11-04,CHI,PHI,1.0,0.5,1.87,18.42,1.0,16.025400000000005,156.6848,1156.6848,1156.6848
2025-11-05,NYK,MIN,1.0,0.842,1.65,118.16,1.0,76.80399999999999,233.48879999999997,1233.4888,1233.4888
2025-11-06,PHO,LAC,0.75,0.818,1.74,124.96,1.0,92.4704,325.95919999999995,1325.9592,1325.9592
2025-11-07,MIL,CHI,0.75,0.8,1.57,128.66,1.0,73.3362,399.2954,1399.2954,1399.2954
2025-11-07,SAS,HOU,1.0,0.615,2.45,128.66,1.0,186.55700000000002,585.8524,1585.8524,1585.8524
2025-11-08,PHI,TOR,0.67,0.667,1.52,18.19,1.0,9.458800000000002,595.3112,1595.3112,1595.3112
2025-11-09,MIL,HOU,0.8,0.789,2.45,159.53,0.0,-159.53,435.7812,1435.7812,1435.7812
2025-11-10,CHI,SAS,1.0,0.438,2.5,143.58,0.0,-143.58,292.2012,1292.2012,1292.2012
2025-11-11,PHI,BOS,0.6,0.722,2.02,129.22,1.0,131.80440000000002,424.00559999999996,1424.0056,1424.0056
2025-11-12,NYK,ORL,1.0,0.933,1.57,142.4,0.0,-142.4,281.6056,1281.6055999999999,1281.6055999999999
2025-11-12,SAS,GSW,1.0,1.0,1.62,142.4,0.0,-142.4,139.20559999999998,1139.2056,1139.2056
2025-11-13,PHO,IND,0.83,0.848,1.54,113.92,1.0,61.5168,200.7224,1200.7224,1200.7224
2025-11-14,NYK,MIA,0.88,0.853,1.4,75.05,1.0,30.019999999999992,230.74239999999998,1230.7424,1230.7424
2025-11-16,PHO,ATL,0.86,0.731,1.95,123.07,0.0,-123.07,107.67239999999998,1107.6724,1107.6724
2025-11-17,PHI,LAC,0.67,0.714,1.49,72.66,1.0,35.6034,143.27579999999998,1143.2758,1143.2758
2025-11-18,ORL,GSW,0.57,0.854,2.36,114.33,1.0,155.48879999999997,298.7646,1298.7646,1298.7646
2025-11-18,SAS,MEM,0.75,0.736,1.43,69.48,1.0,29.876399999999997,328.64099999999996,1328.641,1328.641
2025-11-19,CLE,HOU,0.75,0.857,2.0,132.86,0.0,-132.86,195.78099999999995,1195.781,1195.781
2025-11-19,PHI,TOR,0.71,0.857,2.14,132.86,0.0,-132.86,62.920999999999935,1062.9209999999998,1062.9209999999998
2025-11-20,ORL,LAC,0.62,0.732,1.46,79.64,1.0,36.6344,99.55539999999993,1099.5554,1099.5554
2025-11-20,SAS,ATL,0.78,0.732,1.91,106.29,1.0,96.7239,196.27929999999992,1196.2793,1196.2793
2025-11-21,HOU,DEN,0.83,0.846,1.74,119.63,0.0,-119.63,76.64929999999993,1076.6493,1076.6493
2025-11-21,PHO,MIN,0.75,0.741,2.54,119.63,1.0,184.2302,260.8794999999999,1260.8795,1260.8795
2025-11-22,ORL,NYK,0.67,0.75,1.87,126.09,1.0,109.69830000000002,370.5777999999999,1370.5778,1370.5778
2025-11-23,PHO,SAS,0.78,0.742,1.68,137.06,1.0,93.20079999999999,463.77859999999987,1463.7785999999999,1463.7785999999999
2025-11-23,BOS,ORL,0.5,0.824,1.52,137.06,1.0,71.27120000000001,535.0497999999999,1535.0497999999998,1535.0497999999998
2025-11-24,TOR,CLE,0.71,0.76,1.87,153.5,1.0,133.54500000000002,668.5947999999999,1668.5947999999999,1668.5947999999999
2025-11-24,MIL,POR,0.5,0.76,1.77,153.5,0.0,-153.5,515.0947999999999,1515.0947999999999,1515.0947999999999
2025-11-24,PHO,HOU,0.8,0.846,2.9,153.5,0.0,-153.5,361.59479999999985,1361.5947999999999,1361.5947999999999
2025-11-25,LAL,LAC,0.67,0.75,1.39,74.19,1.0,28.93409999999999,390.52889999999985,1390.5288999999998,1390.5288999999998
2025-11-26,BOS,DET,0.56,0.8,2.24,139.05,1.0,172.42200000000005,562.9508999999999,1562.9508999999998,1562.9508999999998
2025-11-26,GSW,HOU,0.86,0.741,1.68,139.05,0.0,-139.05,423.9008999999999,1423.9008999999999,1423.9008999999999
2025-11-28,NYK,MIL,0.8,0.821,1.34,10.47,1.0,3.559800000000001,427.4606999999999,1427.4606999999999,1427.4606999999999
2025-11-28,NYK,MIL,0.8,0.821,1.34,10.47,1.0,3.559800000000001,431.0204999999999,1431.0204999999999,1431.0204999999999
2025-11-28,DET,ORL,0.8,0.7,1.62,142.39,0.0,-142.39,288.6304999999999,1288.6305,1288.6305
