home_team,away_team,home_team_prob,odds_1,odds_2,result,game_date,prob_live_safe,prob_used,blocked_by,run_date,created_utc,source,game_key,stage2_candidate_type,params_chosen,params_compareN,params_used,result_raw,home_team_won,settled,pnl_ml_100,accuracy,prob_iso,prob_iso_insample,prob_iso_oos_time,prob_live_oos_proxy,prob_live_safe_pre_clip,prob_base,source_snapshot_date,pred_home_win_proba,closing_home_odds,closing_away_odds,iso_proba_home_win,live_oos_proxy_ready,live_oos_proxy_train_rows,live_oos_proxy_bin_n,live_oos_proxy_bin_winrate,market_implied_p_raw,market_implied_p_devig,model_market_gap,model_market_gap_flag,live_underdog_upscale_guard_triggered,prob_blended,live_shrink_triggered,implied_prob_1,home_win_rate,EV_€_per_100,engine_state,game_day
HOU,LAL,0.7174920126740585,1.59,2.42,0,2026-05-01,0.5897435897435898,0.5919142274053275,PASS,2026-05-01,2026-05-01T20:32:57.316938+00:00,,2026-05-01__HOU__LAL,LOW_PRICE_NEGATIVE_EV,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.45, 'n_trades': 78, 'win_rate_%': 64.1, 'avg_EV_€_per_100': 30.96, 'profit_€': 2185.0, 'roi_%': 28.01}",0,0.0,False,-100.0,,0.7657657657657657,0.7657657657657657,0.7657657657657657,0.5897435897435898,0.5897435897435898,0.5897435897435898,,0.7174920126740585,1.59,2.42,0.7657657657657657,True,429.0,16.0,0.5897435897435898,0.6289308176100629,0.6034912718204488,-0.013747682076859,False,False,0.5919142274053275,False,0.6289308176100629,0.75,-5.885637842552926,upcoming_d,2026-05-01
ORL,DET,0.6430863420456859,2.36,1.62,0,2026-05-01,0.5897435897435898,0.4479560174893338,PASS,2026-05-01,2026-05-01T20:32:57.316938+00:00,,2026-05-01__ORL__DET,LIVE_WATCH_ONLY,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.45, 'n_trades': 78, 'win_rate_%': 64.1, 'avg_EV_€_per_100': 30.96, 'profit_€': 2185.0, 'roi_%': 28.01}",0,0.0,False,-100.0,,0.676923076923077,0.676923076923077,0.676923076923077,0.5897435897435898,0.5897435897435898,0.5897435897435898,,0.6430863420456859,2.36,1.62,0.676923076923077,True,429.0,17.0,0.5897435897435898,0.423728813559322,0.4070351758793969,0.1827084138641928,True,False,0.4256514535561912,True,0.423728813559322,0.7,5.717620127482781,upcoming_d,2026-05-01
TOR,CLE,0.6293326601071558,2.45,1.57,0,2026-05-01,0.5897435897435898,0.4349443680228938,PASS,2026-05-01,2026-05-01T20:32:57.316938+00:00,,2026-05-01__TOR__CLE,LIVE_WATCH_ONLY,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.45, 'n_trades': 78, 'win_rate_%': 64.1, 'avg_EV_€_per_100': 30.96, 'profit_€': 2185.0, 'roi_%': 28.01}",0,1.0,False,145.00000000000003,,0.676923076923077,0.676923076923077,0.676923076923077,0.5897435897435898,0.5897435897435898,0.5897435897435898,,0.6293326601071558,2.45,1.57,0.676923076923077,True,429.0,17.0,0.5897435897435898,0.4081632653061224,0.390547263681592,0.1991963260619977,True,False,0.4070633828898483,True,0.4081632653061224,0.6,6.561370165609004,upcoming_d,2026-05-01
BOS,PHI,0.6356190940048705,1.38,3.15,0,2026-05-02,0.5879629629629629,0.6422154936404353,PASS,2026-05-02,2026-05-02T18:53:06.400374+00:00,,2026-05-02__BOS__PHI,LOW_PRICE_NEGATIVE_EV,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.5, 'n_trades': 76, 'win_rate_%': 65.79, 'avg_EV_€_per_100': 32.17, 'profit_€': 2330.0, 'roi_%': 30.66}",0,0.0,False,-100.0,,0.6716417910447762,0.6716417910447762,0.6716417910447762,0.5879629629629629,0.5879629629629629,0.5879629629629629,,0.6356190940048705,1.38,3.15,0.6716417910447762,True,432.0,16.0,0.5879629629629629,0.7246376811594204,0.695364238410596,-0.1074012754476331,False,False,0.6673123454593356,True,0.7246376811594204,0.65,-11.37426187761994,upcoming_d,2026-05-02
CLE,TOR,0.5477385964752332,1.34,3.4,0,2026-05-03,0.5866050808314087,0.6630187393373763,PASS,2026-05-03,2026-05-03T18:54:24.275628+00:00,,2026-05-03__CLE__TOR,LOW_PRICE_NEGATIVE_EV,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.5, 'n_trades': 78, 'win_rate_%': 65.38, 'avg_EV_€_per_100': 31.38, 'profit_€': 2300.0, 'roi_%': 29.49}",0,1.0,False,34.00000000000001,,0.5647058823529413,0.5647058823529413,0.5647058823529413,0.5866050808314087,0.5866050808314087,0.5866050808314087,,0.5477385964752332,1.34,3.4,0.5647058823529413,True,433.0,17.0,0.5866050808314087,0.7462686567164178,0.7172995780590716,-0.1306944972276629,False,False,0.6917867521616192,True,0.7462686567164178,0.6,-11.155488928791568,upcoming_d,2026-05-03
DET,ORL,0.7046430554958801,1.31,3.6,0,2026-05-03,0.5866050808314087,0.6782778463273059,PASS,2026-05-03,2026-05-03T18:54:24.275628+00:00,,2026-05-03__DET__ORL,LOW_PRICE_NEGATIVE_EV,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.5, 'n_trades': 78, 'win_rate_%': 65.38, 'avg_EV_€_per_100': 31.38, 'profit_€': 2300.0, 'roi_%': 29.49}",0,1.0,False,31.000000000000007,,0.7589285714285714,0.7589285714285714,0.7589285714285714,0.5866050808314087,0.5866050808314087,0.5866050808314087,,0.7046430554958801,1.31,3.6,0.7589285714285714,True,433.0,20.0,0.5866050808314087,0.7633587786259541,0.7331975560081467,-0.146592475176738,False,False,0.709738642738007,True,0.7633587786259541,0.8,-11.145602131122924,upcoming_d,2026-05-03
NYK,PHI,0.7310961628916552,1.34,3.35,0,2026-05-04,0.5885057471264368,0.659950109138737,PASS,2026-05-04,2026-05-04T19:25:24.894045+00:00,,2026-05-04__NYK__PHI,LOW_PRICE_NEGATIVE_EV,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.45, 'n_trades': 80, 'win_rate_%': 63.75, 'avg_EV_€_per_100': 31.99, 'profit_€': 2230.0, 'roi_%': 27.88}",0,1.0,False,34.00000000000001,,0.7610619469026548,0.7610619469026548,0.7610619469026548,0.5885057471264368,0.5885057471264368,0.5885057471264368,,0.7310961628916552,1.34,3.35,0.7610619469026548,True,435.0,14.0,0.5885057471264368,0.7462686567164178,0.7142857142857143,-0.1257799671592775,False,False,0.6881765989867494,True,0.7462686567164178,0.75,-11.566685375409236,upcoming_d,2026-05-04
SAS,MIN,0.6258727314461987,1.2,4.8,0,2026-05-04,0.5885057471264368,0.7422184754394141,PASS,2026-05-04,2026-05-04T19:25:24.894045+00:00,,2026-05-04__SAS__MIN,NO_VALUE_SKIP,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.45, 'n_trades': 80, 'win_rate_%': 63.75, 'avg_EV_€_per_100': 31.99, 'profit_€': 2230.0, 'roi_%': 27.88}",0,0.0,False,-100.0,,0.6512379371363187,0.6512379371363187,0.6512379371363187,0.5885057471264368,0.5885057471264368,0.5885057471264368,,0.6258727314461987,1.2,4.8,0.6512379371363187,True,435.0,19.0,0.5885057471264368,0.8333333333333334,0.7999999999999999,-0.2114942528735631,False,False,0.7849629122816637,True,0.8333333333333334,0.8,-10.93378294727031,upcoming_d,2026-05-04
DET,CLE,0.6734597224342478,1.68,2.24,0,2026-05-05,0.5881006864988558,0.5849643457354277,PASS,2026-05-05,2026-05-05T19:16:54.780455+00:00,,2026-05-05__DET__CLE,LOW_PRICE_NEGATIVE_EV,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.45, 'n_trades': 80, 'win_rate_%': 63.75, 'avg_EV_€_per_100': 31.89, 'profit_€': 2230.0, 'roi_%': 27.88}",0,1.0,False,68.0,,0.7631578947368421,0.7631578947368421,0.7631578947368421,0.5881006864988558,0.5881006864988558,0.5881006864988558,,0.6734597224342478,1.68,2.24,0.7631578947368421,True,437.0,19.0,0.5881006864988558,0.5952380952380952,0.5714285714285715,0.0166721150702843,False,False,0.5849643457354277,False,0.5952380952380952,0.8,-1.7259899164481562,upcoming_d,2026-05-05
OKC,LAL,0.6930307680720663,1.11,7.0,0,2026-05-05,0.5881006864988558,0.8,PASS,2026-05-05,2026-05-05T19:16:54.780455+00:00,,2026-05-05__OKC__LAL,NO_VALUE_SKIP,LOCAL,500.0,"{'home_win_rate_threshold': 0.55, 'odds_min': 1.4, 'odds_max': 3.2, 'prob_threshold': 0.45, 'n_trades': 80, 'win_rate_%': 63.75, 'avg_EV_€_per_100': 31.89, 'profit_€': 2230.0, 'roi_%': 27.88}",0,1.0,False,11.00000000000001,,0.7631578947368421,0.7631578947368421,0.7631578947368421,0.5881006864988558,0.5881006864988558,0.5881006864988558,,0.6930307680720663,1.11,7.0,0.7631578947368421,True,437.0,18.0,0.5881006864988558,0.9009009009009008,0.8631319358816276,-0.2750312493827718,False,False,0.8542945235772734,True,0.9009009009009008,0.8,-11.199999999999989,upcoming_d,2026-05-05
